"Team","W","L","ERA","CG","ShO","SV","HLD","BS","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","Balls","Strikes","Pitches","RS","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","RS/9","Age","xFIP","Dollars"
"Dodgers","106","56","3.39","3","1","44","74","28","1201","613","545","185","392","24","66","40","7","1519","1728","1311","809","7810","15230","23040","886","9.46","2.44","3.88","7.48","1.15",".220","1.10",".271","74.7 %","3.73","1.32","21.0 %","44.9 %","34.1 %","12.0 %","14.1 %","6.7 %","30.2 %","192.8","43.7","891.1","547.8","25.7 %","6.6 %","5.52","28","3.87","$192.6"
"Astros","107","55","3.66","2","1","47","97","20","1205","640","595","230","448","0","41","41","8","1671","1656","1374","772","8608","15415","24023","920","10.28","2.76","3.73","7.42","1.42",".219","1.13",".270","76.8 %","3.98","1.21","20.3 %","43.6 %","36.1 %","9.3 %","16.7 %","4.9 %","32.1 %","186.1","44.0","904.3","552.2","27.9 %","7.5 %","5.66","28","3.80","$189.9"
"Rays","96","66","3.67","0","0","46","116","24","1274","656","602","181","453","27","60","59","7","1621","1719","1354","823","8330","15631","23961","769","9.90","2.77","3.58","7.78","1.10",".229","1.17",".290","73.8 %","3.65","1.27","21.1 %","44.1 %","34.8 %","11.4 %","13.4 %","6.3 %","44.0 %","172.8","78.3","698.6","767.8","26.6 %","7.4 %","4.69","27","3.89","$202.1"
"Indians","93","69","3.79","6","5","42","77","16","1308","657","606","207","450","19","62","42","2","1508","1570","1526","858","8243","15232","23475","769","9.44","2.82","3.35","8.19","1.30",".238","1.22",".291","76.0 %","4.06","1.03","21.7 %","39.7 %","38.6 %","10.2 %","13.6 %","6.5 %","29.4 %","175.9","41.0","926.6","501.5","25.1 %","7.5 %","4.81","28","4.30","$175.2"
"Cardinals","91","71","3.82","1","1","52","97","21","1284","662","613","191","545","41","69","46","4","1399","1800","1316","892","8727","15157","23884","764","8.72","3.40","2.57","8.00","1.19",".235","1.27",".283","75.8 %","4.27","1.37","22.3 %","44.9 %","32.8 %","9.7 %","14.5 %","5.2 %","14.9 %","108.7","47.2","881.6","556.1","23.1 %","9.0 %","4.76","27","4.36","$124.5"
"Athletics","97","65","3.97","1","1","45","109","30","1342","680","646","201","477","19","66","74","4","1299","1761","1593","894","8624","15259","23883","845","7.98","2.93","2.72","8.24","1.23",".239","1.24",".278","75.1 %","4.34","1.11","21.0 %","41.5 %","37.5 %","11.8 %","12.6 %","5.1 %","31.1 %","118.8","70.8","883.9","576.2","21.1 %","7.8 %","5.19","30","4.72","$150.1"
"Cubs","84","78","4.10","1","1","38","71","28","1376","717","657","195","534","16","80","60","1","1444","1865","1304","896","8929","15413","24342","814","9.01","3.33","2.70","8.59","1.22",".247","1.32",".300","74.1 %","4.25","1.43","22.0 %","45.9 %","32.1 %","8.1 %","15.0 %","6.5 %","24.6 %","155.5","12.6","885.9","549.1","23.3 %","8.6 %","5.08","30","4.29","$136.0"
"Reds","75","87","4.18","0","0","46","85","23","1270","711","668","214","536","31","58","35","8","1552","1702","1307","829","8955","15224","24179","701","9.71","3.35","2.90","7.95","1.34",".232","1.26",".286","73.7 %","4.23","1.30","21.6 %","44.3 %","34.1 %","9.9 %","16.4 %","5.2 %","25.0 %","147.6","37.9","880.3","550.0","25.6 %","8.9 %","4.39","28","4.10","$149.1"
"Twins","101","61","4.18","1","0","50","102","22","1456","754","680","198","452","10","61","71","5","1463","1758","1475","971","8442","15837","24279","939","9.00","2.78","3.24","8.95","1.22",".254","1.30",".309","71.8 %","4.03","1.19","23.1 %","41.8 %","35.1 %","11.7 %","13.4 %","7.0 %","33.3 %","166.7","74.8","887.8","567.6","23.4 %","7.2 %","5.78","27","4.27","$191.8"
"Braves","97","65","4.20","1","0","44","106","22","1421","743","677","203","548","33","69","70","3","1393","1877","1352","924","8822","15326","24148","855","8.64","3.40","2.54","8.82","1.26",".253","1.36",".302","73.8 %","4.39","1.39","22.2 %","45.2 %","32.6 %","10.4 %","15.0 %","5.9 %","23.4 %","112.5","10.1","870.2","571.6","22.3 %","8.8 %","5.30","28","4.42","$98.6"
"Diamondbacks","85","77","4.25","0","0","45","90","24","1400","743","691","220","516","38","62","49","4","1427","1788","1452","905","8820","15480","24300","813","8.77","3.17","2.77","8.60","1.35",".248","1.31",".295","74.0 %","4.40","1.23","21.8 %","43.1 %","35.0 %","8.9 %","15.2 %","6.0 %","28.4 %","108.8","28.0","865.7","593.0","22.9 %","8.3 %","4.99","28","4.42","$111.1"
"Mets","86","76","4.25","3","3","38","59","27","1405","737","690","204","500","40","60","47","2","1520","1772","1471","842","8642","15836","24478","791","9.36","3.08","3.04","8.66","1.26",".248","1.30",".304","73.1 %","4.10","1.20","20.6 %","43.4 %","36.0 %","10.4 %","13.9 %","6.5 %","22.7 %","190.0","5.5","939.0","514.3","24.4 %","8.0 %","4.87","28","4.29","$162.9"
"Nationals","93","69","4.28","1","1","40","94","29","1340","724","684","202","517","41","61","53","5","1511","1697","1449","839","8685","15514","24199","873","9.45","3.23","2.92","8.38","1.26",".241","1.29",".296","73.0 %","4.14","1.17","21.1 %","42.6 %","36.4 %","9.6 %","13.9 %","6.2 %","18.6 %","204.3","8.3","937.5","495.3","24.6 %","8.4 %","5.46","30","4.32","$178.5"
"Yankees","103","59","4.31","1","1","50","101","25","1374","739","691","248","507","12","44","55","5","1534","1704","1480","832","8827","15654","24481","943","9.57","3.16","3.03","8.57","1.55",".246","1.30",".296","75.2 %","4.47","1.15","20.7 %","42.4 %","36.9 %","11.8 %","16.8 %","8.1 %","38.5 %","106.9","76.2","776.0","658.6","25.0 %","8.3 %","5.88","28","4.27","$145.4"
"Giants","77","85","4.38","1","0","41","86","22","1395","773","715","227","519","26","65","53","4","1368","1778","1506","934","8827","15611","24438","678","8.38","3.18","2.64","8.55","1.39",".246","1.30",".286","72.6 %","4.55","1.18","22.1 %","42.2 %","35.7 %","8.9 %","15.1 %","6.4 %","17.6 %","39.5","35.0","845.5","612.3","21.9 %","8.3 %","4.15","28","4.58","$60.4"
"Brewers","89","73","4.40","0","0","50","104","27","1364","766","714","225","570","28","60","41","3","1497","1706","1442","899","9191","15814","25005","769","9.23","3.52","2.63","8.41","1.39",".243","1.33",".292","73.1 %","4.46","1.18","22.2 %","42.2 %","35.6 %","11.2 %","15.6 %","6.4 %","18.7 %","86.1","40.8","785.4","663.9","24.0 %","9.1 %","4.74","29","4.42","$103.0"
"Phillies","81","81","4.53","3","1","36","94","19","1452","794","732","258","546","38","71","45","7","1392","1802","1442","938","8809","15501","24310","774","8.62","3.38","2.55","8.99","1.60",".257","1.37",".298","74.7 %","4.88","1.25","22.4 %","43.1 %","34.5 %","8.5 %","17.9 %","7.4 %","19.8 %","77.4","7.0","867.1","577.7","22.2 %","8.7 %","4.79","28","4.55","$66.9"
"Padres","70","92","4.63","0","0","47","96","25","1394","789","737","215","463","19","68","60","6","1475","1755","1454","870","8419","15479","23898","682","9.27","2.91","3.19","8.76","1.35",".248","1.30",".299","70.0 %","4.22","1.21","21.3 %","43.0 %","35.6 %","8.7 %","14.8 %","8.0 %","25.3 %","101.8","54.3","808.8","612.0","23.9 %","7.5 %","4.29","26","4.29","$124.7"
"Red Sox","84","78","4.70","1","1","33","82","28","1423","828","768","215","605","22","76","81","6","1633","1724","1488","833","9660","16482","26142","901","9.99","3.70","2.70","8.71","1.32",".249","1.38",".312","70.8 %","4.28","1.16","20.6 %","42.6 %","36.8 %","9.3 %","14.4 %","7.7 %","28.2 %","109.3","56.1","803.2","658.7","25.5 %","9.5 %","5.51","29","4.39","$131.9"
"Marlins","57","105","4.74","2","2","27","55","22","1340","808","760","236","615","52","90","71","6","1378","1571","1661","866","8878","15681","24559","615","8.59","3.83","2.24","8.35","1.47",".242","1.35",".281","72.2 %","4.89","0.95","21.1 %","38.3 %","40.5 %","10.9 %","14.2 %","6.6 %","27.7 %","83.0","-23.9","885.2","550.5","22.1 %","9.8 %","3.83","27","5.06","$47.2"
"Blue Jays","67","95","4.79","1","0","33","72","10","1450","828","767","228","604","25","69","70","6","1332","1840","1527","900","9379","15551","24930","726","8.32","3.77","2.21","9.06","1.42",".257","1.43",".300","71.8 %","4.82","1.20","21.1 %","43.1 %","35.8 %","10.5 %","14.9 %","7.1 %","40.5 %","71.5","17.8","706.9","722.0","21.1 %","9.6 %","4.54","28","4.88","$72.5"
"White Sox","72","89","4.91","6","2","33","73","16","1438","832","770","238","582","30","51","71","5","1312","1799","1498","871","8946","15255","24201","708","8.36","3.71","2.25","9.16","1.52",".260","1.43",".302","71.3 %","4.89","1.20","20.9 %","43.2 %","35.9 %","11.1 %","15.9 %","5.4 %","31.8 %","94.8","27.3","836.1","569.1","21.3 %","9.5 %","4.51","28","4.81","$98.4"
"Mariners","68","94","5.00","3","2","34","66","29","1484","893","799","260","505","25","51","75","4","1239","1926","1590","917","8675","15327","24002","758","7.75","3.16","2.45","9.28","1.63",".260","1.38",".291","68.4 %","5.00","1.21","20.7 %","43.4 %","35.9 %","10.3 %","16.4 %","6.7 %","44.7 %","54.6","2.5","741.5","687.1","19.8 %","8.1 %","4.74","28","4.85","$46.5"
"Rangers","78","84","5.09","4","1","33","58","14","1515","878","813","241","583","11","70","68","3","1379","1787","1560","929","9253","15821","25074","810","8.63","3.65","2.37","9.48","1.51",".266","1.46",".312","70.5 %","4.84","1.15","21.7 %","41.8 %","36.5 %","10.2 %","15.4 %","6.4 %","44.2 %","114.2","22.3","803.8","623.0","21.7 %","9.2 %","5.07","27","4.82","$113.7"
"Angels","72","90","5.12","0","0","32","72","14","1417","868","820","267","576","11","82","98","9","1404","1688","1570","920","9470","15673","25143","769","8.76","3.59","2.44","8.84","1.67",".252","1.38",".290","71.0 %","5.04","1.08","22.0 %","40.4 %","37.6 %","8.3 %","17.0 %","6.6 %","31.9 %","30.9","23.8","677.5","757.0","22.3 %","9.2 %","4.80","27","4.80","$46.4"
"Pirates","69","93","5.19","1","0","31","57","24","1511","911","830","241","584","22","85","50","4","1443","1774","1532","894","8941","15921","24862","758","9.02","3.65","2.47","9.44","1.51",".264","1.45",".315","68.9 %","4.78","1.16","21.3 %","42.2 %","36.5 %","8.4 %","15.7 %","7.6 %","36.0 %","82.4","4.5","809.7","621.2","22.6 %","9.1 %","4.74","27","4.72","$70.5"
"Royals","59","103","5.20","1","1","37","61","23","1525","869","824","221","582","25","81","59","5","1230","1921","1505","948","9124","15393","24517","691","7.77","3.68","2.11","9.63","1.40",".270","1.48",".311","70.2 %","4.90","1.28","21.7 %","43.9 %","34.4 %","8.0 %","14.7 %","6.7 %","27.8 %","53.1","24.8","858.6","558.7","19.5 %","9.2 %","4.36","27","4.98","$61.5"
"Tigers","47","114","5.26","0","0","31","65","25","1555","915","837","250","536","24","69","66","7","1368","1840","1572","896","8995","15755","24750","582","8.59","3.37","2.55","9.77","1.57",".271","1.46",".317","68.8 %","4.84","1.17","20.8 %","42.7 %","36.5 %","9.2 %","15.9 %","7.3 %","31.5 %","107.3","4.7","789.2","635.4","21.6 %","8.5 %","3.66","28","4.75","$89.5"
"Rockies","71","91","5.58","1","1","28","62","23","1576","958","898","270","589","33","57","63","7","1264","2048","1418","978","9136","15510","24646","835","7.85","3.66","2.15","9.79","1.68",".273","1.49",".308","68.6 %","5.23","1.44","22.0 %","46.1 %","31.9 %","7.1 %","19.0 %","5.5 %","13.0 %","63.1","0.6","840.0","603.3","19.7 %","9.2 %","5.19","28","4.75","$53.5"
"Orioles","54","108","5.67","0","0","27","57","27","1544","981","909","305","561","11","80","75","6","1248","1812","1754","908","9544","15784","25328","729","7.78","3.50","2.22","9.63","1.90",".268","1.46",".295","68.5 %","5.56","1.03","20.3 %","40.5 %","39.2 %","9.7 %","17.4 %","7.0 %","51.6 %","47.4","1.3","784.1","647.0","19.5 %","8.8 %","4.55","27","5.23","$44.0"
